Home Ownership,Annual Income,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Term,Current Loan Amount,Monthly Debt,Credit Score,Credit Default
2,-1.1143035702288595,-0.026674289431710546,1.133644851182116,0.03736827969766289,1.6647792271904904,-0.6983066109996929,2,0.002829760687826769,-0.8720845805099383,-0.21893240800840794,0
2,-0.39618987223100743,0.7882225363842952,-0.42852756229605427,0.6805044835264574,-0.3409788778582933,-0.6983066109996929,1,-0.25743630229652625,0.004909107517618331,-0.22727593933944762,1
3,-0.7583853300498542,-0.026674289431710546,2.369181214569396,0.6814177454977253,-0.3409788778582933,-0.6983066109996929,2,0.002829760687826769,-0.3910335442527347,-0.22379946795151442,0
2,-0.6874778795902061,-0.6378469087937149,0.5939852901623843,-0.6612771283222567,1.6647792271904904,-0.6983066109996929,2,-1.0951656867778519,-0.5849800401326217,-0.2571735932756732,0
4,-0.7255429273582041,0.3807741234762923,-0.669954208015408,-0.35196671442847044,1.6647792271904904,-0.6983066109996929,2,-1.069235356458326,-0.9336309393408233,-0.23979123633600716,0
4,-0.20734605675401982,0.1770499170222909,-0.5279385340628471,-0.3766818665259071,-0.3409788778582933,-0.6983066109996929,1,0.16463758924110766,0.03165745692777137,-0.23144770500496747,1
3,0.24556775039581433,-0.4341227023397134,0.2815508074667503,-0.34899861302184987,-0.3409788778582933,2.5249458678167356,2,0.002829760687826769,-1.3413965292517143,-0.2217135851187545,0
4,-0.3769313685119741,0.3807741234762923,-0.8971792863395054,-0.4239146341024172,-0.3409788778582933,0.09646797281805658,2,-0.3395918042989854,0.12129377517057259,-0.24952535622222013,1
3,-0.20734605675401982,1.1956709492922981,-0.3717212927150301,-0.8524913535564668,1.6647792271904904,-0.6983066109996929,2,-1.0465142254357707,-1.5342529670051688,-0.23144770500496747,0
3,-0.20734605675401982,-0.23039849588571198,0.8922182054627624,-0.18920630748657494,-0.3409788778582933,-0.43338174972710974,1,1.5392018321197525,-0.05881736756613184,-0.23144770500496747,1
3,-0.20734605675401982,-0.8415711152477163,-0.9681871233157859,-0.5199783777051562,-0.3409788778582933,-0.6983066109996929,2,-0.5148140859136053,-0.3121301060240388,-0.23144770500496747,0
3,0.6650867597016924,0.1770499170222909,-0.10189151220516404,0.23600275844842436,-0.3409788778582933,-0.6983066109996929,2,0.7702776805654863,-0.2336459209208938,-0.22727593933944762,0
3,-0.5178423500911331,-0.6378469087937149,-0.6131479384343835,-0.277022153911301,-0.3409788778582933,-0.6983066109996929,2,0.16733331665056334,0.09488082826086035,-0.24883006194463347,0
4,0.9793493836227105,-0.026674289431710546,-0.08768994480990826,1.293189108500789,-0.3409788778582933,-0.6983066109996929,1,1.404415461646968,0.2980508929028691,-0.23353358783772737,1
2,1.2336520246479639,-0.026674289431710546,-0.08768994480990826,1.226406826851826,-0.3409788778582933,-0.6983066109996929,2,-0.7225134644135723,3.3571732487982078,-0.21962770228599457,0
4,-0.6301292192326154,-0.4341227023397134,0.011721026956884288,-0.4682649185821131,-0.3409788778582933,-0.6983066109996929,2,-0.956656645120581,-0.4507351893311954,-0.23422888211531404,0
4,-0.20734605675401982,-1.0452953217017178,-0.07348837741465196,0.31437205135784835,-0.3409788778582933,-0.6983066109996929,1,0.023047716258744452,0.044402751944521396,-0.23144770500496747,1
3,2.6914228315836035,0.5844983299302937,1.4460793338777498,0.499364679412796,-0.3409788778582933,-0.6983066109996929,1,1.1073719747193265,2.845432883750672,-0.29193830715500524,1
3,0.10104109145610675,-0.4341227023397134,1.5170871708540303,-0.35016872992253684,-0.3409788778582933,1.0678591308175283,1,1.4266231207820077,-0.40922912990164756,-0.25647829899808655,1
4,-0.40334590034042656,-1.0452953217017178,-0.826171449363225,-0.5942379917438747,-0.3409788778582933,-0.6983066109996929,2,0.0034074165612815598,-0.32395304416457665,-0.24465829627911365,1
